封面,标题,出版信息,评分,评价人数
https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,你当像鸟飞往你的山,"
        
  
  [美] 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10-20 / 59.00元

      ",8.8,"
        (97768人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33843649.jpg,一生的旅程,"
        
  
  [美] 罗伯特·艾格、[美] 乔尔·洛弗尔 / 靳婷婷 / 文汇出版社 / 2020-5-1 / 88

      ",8.7,"
        (5954人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s24516687.jpg,邓小平时代,"
        
  
  [美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元

      ",9.2,"
        (36166人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33665563.jpg,人生由我,"
        
  
  [加] 梅耶·马斯克 / 代晓 / 中信出版集团 / 2020-6 / 59.00元

      ",7.8,"
        (4025人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33692330.jpg,知晓我姓名,"
        
  
  [美]香奈儿·米勒 / 陈毓飞 / 世纪文景/上海人民出版社 / 2020-8 / 59.00元

      ",9.3,"
        (2208人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1015872.jpg,我们仨,"
        
  
  杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元

      ",8.7,"
        (259892人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29675003.jpg,天生有罪,"
        
  
  [南非] 特雷弗·诺亚 / 董帅 / 未读·北京联合出版公司 / 2018-2-1 / 58.00

      ",9.1,"
        (8260人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s24468373.jpg,看见,"
        
  
  柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元

      ",8.8,"
        (293899人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28571694.jpg,硅谷钢铁侠,"
        
  
  [美] 阿什利·万斯 / 周恒星 / 中信出版集团 / 2016-4 / 68.00元

      ",8.1,"
        (9714人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s6974202.jpg,史蒂夫·乔布斯传,"
        
  
  [美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 / 中信出版社 / 2011-10-24 / 68.00元

      ",8.7,"
        (51498人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33703773.jpg,一往无前,"
        
  
  范海涛 / 中信出版集团 / 2020-8 / 78.00

      ",8.2,"
        (2716人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33687481.jpg,苏世民：我的经验与教训,"
        
  
  [美] 苏世民 / 赵灿 / 中信出版社 / 2020-1 / 98.00元

      ",8.2,"
        (3980人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33835810.jpg,我的几何人生,"
        
  
  [美国]丘成桐、[美国]史蒂夫·纳迪斯 / 夏木清 / 译林出版社 / 2021-3 / 68.00元

      ",8.4,"
        (140人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33678368.jpg,曾国藩传,"
        
  
  张宏杰 / 民主与建设出版社 / 2018-12 / 68.00元

      ",8.6,"
        (7345人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1027286.jpg,别闹了，费曼先生,"
        
  
  [美] 理查德·费曼 / 吴程远 / 生活·读书·新知三联书店 / 1997-12 / 22.00

      ",8.9,"
        (9430人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33748133.jpg,异见时刻,"
        
  
  [美] 伊琳·卡蒙（Irin Carmon）、[美] 莎娜·卡尼兹尼克（Shana Knizhnik） / 骆伟倩 / 湖南文艺出版社 / 2018-9 / 59.80元

      ",8.4,"
        (3178人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33475194.jpg,我心归处是敦煌,"
        
  
  樊锦诗 口述、顾春芳 撰写 / 译林出版社 / 2019-10 / 68.00元

      ",8.0,"
        (3314人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s4532008.jpg,穷查理宝典,"
        
  
  [美]彼得·考夫曼 (编) / 李继宏 / 上海人民出版社 / 2010-10-01 / 88.00

      ",8.9,"
        (13438人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33541757.jpg,成为,"
        
  
  [美] 米歇尔·奥巴马 / 胡晓凯、闫洁 / 天地出版社 / 2019-1 / 98.00元

      ",8.7,"
        (5970人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33804380.jpg,无法直面的人生,"
        
  
  王晓明 / 生活·读书·新知三联书店 / 2021-1 / 79.00元

      ",8.6,"
        (169人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s4458248.jpg,毛泽东传,"
        
  
  [美] 罗斯·特里尔 / 何宇光、刘加英 / 中国人民大学出版社 / 2010-8 / 58.00元

      ",8.3,"
        (7438人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29423902.jpg,当呼吸化为空气,"
        
  
  [美] 保罗·卡拉尼什 / 何雨珈 / 猫头鹰文化·浙江文艺出版社 / 2016-12 / 48.00元

      ",8.8,"
        (19199人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33668974.jpg,苏东坡新传,"
        
  
  李一冰 / 后浪丨四川人民出版社 / 2020-7 / 168.00元

      ",9.4,"
        (956人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s6850776.jpg,维特根斯坦传,"
        
  
  [英] 瑞·蒙克 / 王宇光 / 浙江大学出版社 / 2011-6 / 79.00元

      ",9.1,"
        (6753人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29642817.jpg,命运：文在寅自传,"
        
  
  文在寅 / 王萌 / 江苏凤凰文艺出版社 / 2017-12 / 59.80

      ",8.4,"
        (5565人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27207923.jpg,史蒂夫·乔布斯传（修订版）,"
        
  
  [美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 / 中信出版社 / 2014-1 / 68.00元

      ",9.1,"
        (4447人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s28875892.jpg,穷查理宝典,"
        
  
  彼得·考夫曼 / 李继宏 / 中信出版集团 / 2016-8-1 / CNY 168.00

      ",8.7,"
        (8691人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33822989.jpg,在峡江的转弯处,"
        
  
  陈行甲 / 人民日报出版社 / 2021-1-10 / 48.00元

      ",9.8,"
        (227人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33841958.jpg,成为波伏瓦,"
        
  
  [英]凯特·柯克帕特里克 / 刘海平 / 中信出版社 / 2021-3 / 78.00

      ",9.2,"
        (35人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33777156.jpg,米兰·昆德拉：一种作家人生,"
        
  
  [法]让–多米尼克•布里埃 / 刘云虹、许钧 / 雅众文化 | 南京大学出版社 / 2021-2 / 68.00元

      ",8.6,"
        (71人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29064812.jpg,曾国藩,"
        
  
  唐浩明 / 广东人民出版社 / 2016-8-1 / 145

      ",8.9,"
        (343人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s32299368.jpg,人类群星闪耀时,"
        
  
  [奥地利] 斯蒂芬·茨威格 / 梁锡江 / 江苏凤凰文艺出版社 / 2019-4-1 / 69

      ",8.3,"
        (6168人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29745220.jpg,Educated,"
        
  
  Tara Westover / Random House / 2018-2-20 / USD 28.00

      ",8.8,"
        (5776人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28606305.jpg,活着为了讲述,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 李静 / 南海出版公司 / 2016-4-1 / 55.00元

      ",8.9,"
        (9742人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29067926.jpg,鞋狗,"
        
  
  [美] 菲尔·奈特 / 毛大庆 / 北京联合出版公司 / 2016-9-1 / 89.90元

      ",8.4,"
        (6161人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33835819.jpg,间谍与叛徒,"
        
  
  [英] 本·麦金泰尔 / 袁鑫 / 社会科学文献出版社 / 2021-1 / 92.00元

      ",8.8,"
        (236人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33720250.jpg,你和我,"
        
  
  万方 / 北京十月文艺出版社 / 2020-6-1 / 68

      ",8.9,"
        (720人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29111376.jpg,心若菩提,"
        
  
  曹德旺 / 人民出版社 / 2015-1 / 49.00

      ",9.1,"
        (1616人评价)
    "
