封面,标题,出版信息,评分,评价人数
https://img1.doubanio.com/view/subject/s/public/s29845298.jpg,你是你吃出来的,"
        
  
  夏萌 / 江西科学技术出版社 / 2017-9-1 / 49.8

      ",8.9,"
        (3246人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33733463.jpg,减糖生活,"
        
  
  [日] 水野雅登 / 果露怡 / 江西科学技术出版社 / 2020-10 / 58.00

      ",7.5,"
        (192人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33797291.jpg,睡觉,"
        
  
  梁冬 / 上海科学技术文献出版社 / 2021-1 / 58

      ",6.9,"
        (70人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s28991848.jpg,谷物大脑,"
        
  
  （美）戴维•珀尔玛特（David Perlmutter）、克里斯廷•洛伯格（Kristin Loberg） / 温旻 / 机械工业出版社 / 2015-5-20 / 45.00元

      ",7.1,"
        (2520人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s8920051.jpg,黄帝内经,"
        
  
  (唐)王冰 注 / 王冰 注解 / 中医古籍出版社 / 2003-11 / 30.00元

      ",9.3,"
        (1844人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33686153.jpg,饮食的迷思,"
        
  
  [英] 蒂姆·斯佩克特 / 李超群 / 广西师范大学出版社 / 2019-3 / 52.00

      ",8.3,"
        (1650人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s26305703.jpg,人体使用手册,"
        
  
  吴清忠 / 上海交通大学出版社 / 2013-4-1 / 38.00元

      ",8.2,"
        (342人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33747232.jpg,女人都想要的暖养指南,"
        
  
  石原新菜 / 陈昕璐 / 江西科学技术出版社 / 2020-11 / 48.00

      ",6.5,"
        (45人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29973818.jpg,斯坦福高效睡眠法,"
        
  
  [日] 西野精治 / 君风竹 / 文化发展出版社 / 2018-10 / 18.00元

      ",6.5,"
        (1822人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s27281247.jpg,轻断食,"
        
  
  [英]麦克尔•莫斯利 医学博士 Dr. Michael Mosley、[英]咪咪•史宾赛 Mimi Spencer / 谢佳真 / 广东科技出版社 / 2014-6-1 / 36.80元

      ",6.8,"
        (5010人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29235152.jpg,女人会养不会老,"
        
  
  沈　宁 / 湖南科学技术出版社 / 2017-1 / 38.00

      ",7.4,"
        (143人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33812756.jpg,你是你吃出来的2,"
        
  
  夏萌 / 科学技术文献出版社 / 2021-1-1 / 49.8元

      ",8.1,"
        (102人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33795503.jpg,刮痧通经络养五脏,"
        
  
  石晶明 / 江苏凤凰科学技术出版社 / 49.80元

      ",9.3,"
        (22人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33674276.jpg,周一断食,"
        
  
  [日] 关口贤 / 吴梦迪 / 江苏凤凰文艺出版社 / 2020-6 / 48.00

      ",7.0,"
        (63人评价)
    "
