封面,标题,出版信息,评分,评价人数
https://img1.doubanio.com/view/subject/s/public/s2142329.jpg,孙子兵法,"
        
  
  孙武 / 郭化若 / 上海古籍出版社 / 2006-7 / 20.00元

      ",9.4,"
        (10462人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s9950828.jpg,亮剑,"
        
  
  都梁 / 解放军文艺出版社 / 2005-3 / 28.00元

      ",8.9,"
        (22703人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33760219.jpg,中国冷兵器图典,"
        
  
  蒋丰维 著、刘子葳 绘 / 后浪丨四川人民出版社 / 2020-12 / 138.00元

      ",7.6,"
        (88人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33766397.jpg,三十年战争史,"
        
  
  [英] 彼得·威尔逊 / 宁凡、史文轩 / 后浪丨九州出版社 / 2020-12 / 160.00元

      ",9.1,"
        (92人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1778631.jpg,战争论,"
        
  
  克劳塞维茨(德) / 中国人民解放军军事科学院 / 解放军出版社 / 2005-1-1 / 79.00元

      ",8.9,"
        (1053人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33456776.jpg,中央帝国的军事密码,"
        
  
  郭建龙 / 鹭江出版社 / 2019-9 / 78.00元

      ",8.0,"
        (1318人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33699397.jpg,善战者说,"
        
  
  宫玉振 / 中信出版社 / 2020-8 / 78.00元

      ",8.4,"
        (270人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s3557521.jpg,苦难辉煌,"
        
  
  金一南 / 华艺出版社 / 2009-1 / 46.00元

      ",7.8,"
        (2953人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29793013.jpg,南北战争三百年,"
        
  
  李硕 / 世纪文景 /上海人民出版社 / 2018-1 / 59.00元

      ",8.1,"
        (1421人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s27269441.jpg,孙子兵法,"
        
  
  孙武 / 陈曦  译注 / 中华书局 / 2011-9 / 18.00元

      ",9.5,"
        (1346人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33706892.jpg,巨人的碰撞,"
        
  
  [美] 戴维·M. 格兰茨、[美] 乔纳森·M. 豪斯 / 赵玮、赵国星 / 江苏凤凰文艺出版社 / 2020-8-28 / 169.8

      ",9.7,"
        (57人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s3789841.jpg,朝鲜战争,"
        
  
  王树增 / 人民文学出版社 / 2009-4 / 50.00元

      ",8.3,"
        (1404人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29858519.jpg,论持久战,"
        
  
  毛泽东 / 人民出版社 / 1975-12 / 0.18

      ",9.5,"
        (259人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29502314.jpg,决战朝鲜,"
        
  
  李峰 / 现代出版社 / 2017-8 / 88.00元

      ",8.2,"
        (350人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s6518949.jpg,麒麟之与子同袍,"
        
  
  桔子樹 / 宇河文化 / 2011-6-10 / NT280

      ",9.3,"
        (4550人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s3083829.jpg,士兵突击,"
        
  
  兰晓龙 / 花山文艺出版社 / 2007-2 / 32.00元

      ",9.0,"
        (6028人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33456165.jpg,日本人为何选择了战争,"
        
  
  [日]加藤阳子 / 章霖 / 浙江人民出版社 / 2019-9 / 69.00元

      ",8.2,"
        (2552人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29497488.jpg,朝鲜战争,"
        
  
  [美]约瑟夫·古尔登 / 于滨、谈锋、蒋伟明 / 文治图书·北京联合出版公司 / 2017-8 / 108

      ",7.8,"
        (298人评价)
    "
