封面,标题,出版信息,评分,评价人数
https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,人类简史,"
        
  
  [以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00

      ",9.1,"
        (149761人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33792562.jpg,下沉年代,"
        
  
  [美] 乔治·帕克 (George Packer) / 刘冉 / 文汇出版社 / 2021-1 / 108

      ",9.0,"
        (1041人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1800355.jpg,万历十五年,"
        
  
  [美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元

      ",8.9,"
        (158204人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,明朝那些事儿（1-9）,"
        
  
  当年明月 / 中国海关出版社 / 2009-4 / 358.20元

      ",9.1,"
        (109676人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33578801.jpg,第三帝国的到来,"
        
  
  [英] 理查德·J. 埃文斯 / 赖丽薇 / 九州出版社 / 2020-2 / 145.00元

      ",9.4,"
        (1551人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,中国历代政治得失,"
        
  
  钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元

      ",9.2,"
        (49434人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33640730.jpg,秋园,"
        
  
  杨本芬 / 北京联合出版公司 / 2020-6-1 / 38.00元

      ",8.9,"
        (8448人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33742504.jpg,司马迁的记忆之野,"
        
  
  刘勃 / 百花文艺出版社 / 2020-11 / 38.00元

      ",8.9,"
        (1676人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s24516687.jpg,邓小平时代,"
        
  
  [美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元

      ",9.2,"
        (36166人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29802866.jpg,人类简史,"
        
  
  [以] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2-1 / 68.00元

      ",9.1,"
        (23794人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33734462.jpg,文化失忆,"
        
  
  [澳] 克莱夫·詹姆斯 / 丁骏、张楠、盛韵、冯洁音 / 理想国丨北京日报出版社 / 2020-10 / 138.00元

      ",8.9,"
        (849人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28668834.jpg,巨人的陨落,"
        
  
  [英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元

      ",8.9,"
        (71805人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1738643.jpg,枪炮、病菌与钢铁,"
        
  
  [美] 贾雷德·戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元

      ",8.7,"
        (37093人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29796663.jpg,全球通史,"
        
  
  (美) 斯塔夫里阿诺斯 / 吴象婴、梁赤民、董书慧、王昶 / 北京大学出版社 / 2012-2-1 / 168.00元

      ",9.1,"
        (14802人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33682883.jpg,两京十五日,"
        
  
  马伯庸 / 湖南文艺出版社 / 2020-7 / 108.00元

      ",8.1,"
        (9845人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33657908.jpg,长安客,"
        
  
  北溟鱼 / 天津人民出版社 / 2020-6 / 45

      ",8.0,"
        (3403人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s5804333.jpg,毛泽东选集 第一卷,"
        
  
  毛泽东 / 人民出版社 / 1991-6 / 40.00元

      ",9.3,"
        (12761人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33797441.jpg,古希腊文明的光芒（上下）,"
        
  
  赵林 / 人民邮电出版社 / 2020-11 / 188.00元

      ",9.0,"
        (455人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s7024988.jpg,明朝那些事儿,"
        
  
  当年明月 / 浙江人民出版社 / 2011-12-1 / 208.60

      ",9.2,"
        (24921人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33300419.jpg,人类群星闪耀时,"
        
  
  [奥]斯蒂芬·茨威格 / 姜乙 / 上海文艺出版社 / 2019-7 / 49.00元

      ",8.4,"
        (5308人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27506982.jpg,中国古代文化常识,"
        
  
  王力 主编、马汉麟 等执笔、姜亮夫 叶圣陶 等审校、刘乐园 修订 / 北京联合出版公司 / 2014-11 / 60.00元

      ",9.4,"
        (2068人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1076932.jpg,三国演义（全二册）,"
        
  
  [明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元

      ",9.3,"
        (134755人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s28118682.jpg,叫魂,"
        
  
  [美]孔飞力 / 陈兼、刘昶 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元

      ",9.2,"
        (5241人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s32271479.jpg,棉花帝国,"
        
  
  [美]斯文·贝克特 / 徐轶杰、杨燕 / 后浪丨民主与建设出版社 / 2019-4 / 118.00元

      ",8.5,"
        (2917人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s10206185.jpg,东晋门阀政治,"
        
  
  田余庆 / 北京大学出版社 / 2012-5 / 49.00元

      ",9.5,"
        (5599人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33837213.jpg,历史的运用与滥用,"
        
  
  [加] 玛格丽特·麦克米伦 / 孙唯瀚 / 一頁丨广西师范大学出版社 / 2021-3 / 58

      ",8.7,"
        (96人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29960161.jpg,显微镜下的大明,"
        
  
  马伯庸 / 湖南文艺出版社 / 2019-1 / 52.00元

      ",8.7,"
        (18557人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s32312678.jpg,战国歧途,"
        
  
  刘勃 / 百花文艺出版社 / 2019-5-1 / 32

      ",8.8,"
        (2468人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29109031.jpg,红星照耀中国,"
        
  
  [美] 埃德加·斯诺埃 / 董乐山 / 人民文学出版社 / 2016-6 / 43.00元

      ",9.0,"
        (7870人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29620814.jpg,万古江河,"
        
  
  许倬云 / 理想国|湖南人民出版社 / 2017-12-1 / 68.00

      ",8.5,"
        (3202人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s3203360.jpg,激荡三十年,"
        
  
  吴晓波 / 中信出版社 / 2008-7-1 / 32.00元

      ",8.6,"
        (13144人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33298116.jpg,失败者的春秋,"
        
  
  刘勃 / 百花文艺出版社 / 2019-6 / 38.00

      ",9.0,"
        (2537人评价)
    "
