封面,标题,出版信息,评分,评价人数
https://img2.doubanio.com/view/subject/s/public/s33323852.jpg,被讨厌的勇气,"
        
  
  岸见一郎、古贺史健 / 渠海霞 / 机械工业出版社 / 2015-3-1 / 39.8

      ",8.6,"
        (45969人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1103152.jpg,小王子,"
        
  
  [法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元

      ",9.0,"
        (626793人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33802981.jpg,刘擎西方现代思想讲义,"
        
  
  刘擎 / 新星出版社 / 2021-1-18 / 79.00元

      ",9.2,"
        (2189人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4468484.jpg,局外人,"
        
  
  [法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元

      ",9.0,"
        (156086人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33591973.jpg,走出唯一真理观,"
        
  
  陈嘉映 / 上海文艺出版社 / 2020-5 / 58

      ",8.7,"
        (4193人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,人类简史,"
        
  
  [以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00

      ",9.1,"
        (149762人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4619775.jpg,人生的智慧,"
        
  
  [德] 阿图尔·叔本华 / 韦启昌 / 上海人民出版社 / 2008-10 / 28.00元

      ",9.2,"
        (20702人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33747393.jpg,目光,"
        
  
  陶勇 / 12345 / 百花洲文艺出版社 / 2020-10 / 49.8

      ",8.8,"
        (6844人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28073424.jpg,哲学家们都干了些什么,"
        
  
  林欣浩 / 北京联合出版公司 / 2015-4 / 52.00元

      ",8.6,"
        (18766人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s6927676.jpg,禅与摩托车维修艺术,"
        
  
  (美)罗伯特·M.波西格 / 张国辰 / 重庆出版社 / 2011-9 / 36.00元

      ",8.2,"
        (16528人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s3668327.jpg,牧羊少年奇幻之旅,"
        
  
  [巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元

      ",8.5,"
        (133505人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s6790238.jpg,悉达多,"
        
  
  [德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 / 上海人民出版社 / 2009-3 / 20.00

      ",9.0,"
        (31142人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s32332471.jpg,时间的秩序,"
        
  
  [意] 卡洛·罗韦利 / 杨光 / 湖南科学技术出版社 / 2019-6 / 56.00元

      ",8.9,"
        (13690人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s3073167.jpg,遥远的救世主,"
        
  
  豆豆 / 作家出版社 / 2005-05-01 / 28.00

      ",8.7,"
        (17197人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s3915746.jpg,第二性,"
        
  
  [法] 西蒙﹒波伏娃(Simone de Beauvoir) / 舒小菲 / 西苑出版社 / 2009 / 21.80元

      ",8.7,"
        (4658人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s5804333.jpg,毛泽东选集 第一卷,"
        
  
  毛泽东 / 人民出版社 / 1991-6 / 40.00元

      ",9.3,"
        (12761人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29675043.jpg,存在主义咖啡馆,"
        
  
  [英] 莎拉·贝克韦尔 / 沈敏一 / 北京联合出版公司 / 2017-12-1 / 88.00

      ",8.6,"
        (8220人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2990934.jpg,爱的艺术,"
        
  
  [美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元

      ",8.8,"
        (33093人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29144990.jpg,大问题,"
        
  
  [美] 罗伯特·所罗门、凯思林•希金斯 / 张卜天 / 广西师范大学出版社 / 2014-12 / 65.00

      ",9.3,"
        (6062人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33687223.jpg,洞见,"
        
  
  （美）罗伯特·赖特 / 宋伟 / 读创 | 北京联合出版公司 / 2020-8 / 78.00元

      ",8.2,"
        (1818人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1068535.jpg,理想国,"
        
  
  [古希腊] 柏拉图 / 郭斌和、张竹明 / 商务印书馆 / 1986-8 / 28.00元

      ",8.8,"
        (25763人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33556519.jpg,西西弗神话,"
        
  
  (法)阿尔贝·加缪 / 沈志明 / 上海译文出版社 / 2013-8 / 32

      ",8.8,"
        (5409人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s2153661.jpg,苏菲的世界,"
        
  
  （挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1996-1 / 26.80元

      ",8.5,"
        (108128人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s27003191.jpg,鼠疫,"
        
  
  (法)阿尔贝·加缪 / 刘方 / 上海译文出版社 / 2013-8 / 34.00元

      ",9.0,"
        (34965人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2857294.jpg,查拉图斯特拉如是说,"
        
  
  [德] 尼采 / 钱春绮 / 生活·读书·新知三联书店 / 2007-12 / 27.00元

      ",8.9,"
        (9336人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28051506.jpg,何为良好生活,"
        
  
  陈嘉映 / 上海文艺出版社 / 2015-4 / 39.00元

      ",8.7,"
        (4208人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1151479.jpg,我与地坛,"
        
  
  史铁生 / 春风文艺出版社 / 2002-5 / 25.00元

      ",9.1,"
        (70010人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s3979854.jpg,德米安,"
        
  
  [德] 赫尔曼·黑塞 / 丁君君、谢莹莹 / 上海人民出版社 / 2009-3 / 25.00元

      ",9.0,"
        (20112人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29802866.jpg,人类简史,"
        
  
  [以] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2-1 / 68.00元

      ",9.1,"
        (23794人评价)
    "
