封面,标题,出版信息,评分,评价人数
https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,中国历代政治得失,"
        
  
  钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元

      ",9.2,"
        (49434人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s9130587.jpg,人间词话,"
        
  
  王国维 / 上海古籍出版社 / 1998-12-01 / 9.80元

      ",9.0,"
        (44485人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s5804746.jpg,论语,"
        
  
  中华书局 / 2006-12 / 9.80元

      ",9.1,"
        (16096人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27506982.jpg,中国古代文化常识,"
        
  
  王力 主编、马汉麟 等执笔、姜亮夫 叶圣陶 等审校、刘乐园 修订 / 北京联合出版公司 / 2014-11 / 60.00元

      ",9.4,"
        (2068人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1045431.jpg,道德经,"
        
  
  黄元吉 / 陕西人民出版社 / 1996-10 / 4.50元

      ",9.5,"
        (14544人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1325863.jpg,古文观止,"
        
  
  吴楚材、吴调侯 / 中华书局 / 1987-1-1 / 21.00元

      ",9.1,"
        (15462人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1953384.jpg,史记（全十册）,"
        
  
  司马迁、张守节 / （索隐）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00

      ",9.5,"
        (19089人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2371875.jpg,道德经,"
        
  
  老子 / 安徽人民出版社 / 1990-5 / 4.30

      ",9.5,"
        (3941人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s27436875.jpg,增广贤文,"
        
  
  张齐明 / 中华书局 / 2013-11 / 21.00元

      ",8.6,"
        (632人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2499834.jpg,了凡四训,"
        
  
  (明)袁了凡、净庐主人 译 / 净庐主人 / 百花文艺出版社 / 2007 / 16.00元

      ",8.6,"
        (6290人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s5765615.jpg,庄子,"
        
  
  孙通海 译注、方勇 译注 / 方勇 译注 / 中华书局 / 2007-04 / 20.00元

      ",9.4,"
        (8762人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s3451090.jpg,传习录,"
        
  
  [明] 王阳明撰 / 于自力、孔薇、杨骅骁 / 中州古籍出版社 / 2008-1 / 32.00元

      ",9.3,"
        (2605人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s23922774.jpg,國史大綱（上下）,"
        
  
  錢穆 / 商務印書館 / 2013-8 / 76.00元

      ",9.3,"
        (13043人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33591230.jpg,鬼谷子,"
        
  
  许富宏  译注 / 许富宏 注释 / 中华书局 / 2011-12 / 15.00元

      ",8.9,"
        (2436人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s9077296.jpg,史记,"
        
  
  司马迁 / 中华书局 / 2006-6 / 28.00元

      ",9.5,"
        (5187人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s2158672.jpg,易经,"
        
  
  于春海 译评 / 吉林文史出版社 / 2006-8-1 / 15.00

      ",9.0,"
        (2298人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s27466811.jpg,资治通鉴,"
        
  
  司马光 / 中华书局 / 2009-1 / 136.00元

      ",9.5,"
        (3006人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4052084.jpg,论语译注,"
        
  
  杨伯峻 / 中华书局 / 2009-10-1 / 22.00元

      ",9.2,"
        (2705人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29715849.jpg,世说新语,"
        
  
  <南朝宋>刘义庆 著 / 里望 译注 / 山西古籍出版社 / 2004 / 9

      ",9.1,"
        (5550人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s9258438.jpg,古代汉语（第一册）,"
        
  
  王力 主编 / 中华书局 / 1999-5 / 16.00元

      ",9.2,"
        (3191人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s8473553.jpg,王阳明全集,"
        
  
  [明] 王守仁 / 吴光、钱明、董平、姚延福 编校 / 上海古籍出版社 / 2011-9 / 198.00元

      ",9.5,"
        (571人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1690607.jpg,金刚经说什么,"
        
  
  南怀瑾 / 复旦大学出版社 / 2002-6 / 27.00元

      ",8.9,"
        (7981人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s5981788.jpg,素书,"
        
  
  黄石公 / 经济日报出版社 / 2009-1 / 30.00元

      ",9.0,"
        (815人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33324812.jpg,围炉夜话,"
        
  
  王永彬 / 中华书局 / 2008-9-23 / 21.00元

      ",8.1,"
        (1576人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s27269441.jpg,孙子兵法,"
        
  
  孙武 / 陈曦  译注 / 中华书局 / 2011-9 / 18.00元

      ",9.5,"
        (1346人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s6095789.jpg,春秋左传注（全四册）,"
        
  
  杨伯峻 / 中华书局 / 2009-10 / 178.00元

      ",9.6,"
        (1258人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2701795.jpg,论语别裁(上下),"
        
  
  南怀瑾 / 复旦大学出版社 / 2003-01 / 42.00

      ",8.8,"
        (5476人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s26280565.jpg,《长短经》,"
        
  
  赵蕤  ,李孝国 / 李孝国 / 中国书店出版社 / 2013-1-1 / 98.00元

      ",9.3,"
        (316人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1026024.jpg,说文解字,"
        
  
  [汉] 许慎 撰、[宋] 徐铉杨 校定 / 中华书局 / 1963-12 / 24.00元

      ",9.2,"
        (2053人评价)
    "
