封面,标题,出版信息,评分,评价人数
https://img3.doubanio.com/view/subject/s/public/s29053580.jpg,活着,"
        
  
  余华 / 作家出版社 / 2012-8-1 / 20.00元

      ",9.4,"
        (578211人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,白夜行,"
        
  
  [日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元

      ",9.1,"
        (331185人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33718940.jpg,夜晚的潜水艇,"
        
  
  陈春成 / 上海三联书店 / 2020-9 / 52

      ",8.5,"
        (13544人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,红楼梦,"
        
  
  [清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元

      ",9.6,"
        (327490人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33834057.jpg,文城,"
        
  
  余华 / 北京十月文艺出版社 / 2021-3 / 59.00元

      ",7.8,"
        (6298人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29651121.jpg,房思琪的初恋乐园,"
        
  
  林奕含 / 北京联合出版公司 / 2018-1 / 45.00元

      ",9.2,"
        (237345人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1103152.jpg,小王子,"
        
  
  [法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元

      ",9.0,"
        (626791人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s27237850.jpg,百年孤独,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元

      ",9.3,"
        (327696人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s27264181.jpg,解忧杂货店,"
        
  
  [日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元

      ",8.5,"
        (674915人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1727290.jpg,追风筝的人,"
        
  
  [美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元

      ",8.9,"
        (686594人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33841163.jpg,暗夜与黎明,"
        
  
  [英] 肯·福莱特 / 邓若虚、汪洋 / 江苏凤凰文艺出版社 / 2021-3-6 / 118.00元

      ",8.2,"
        (700人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,1984,"
        
  
  [英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00

      ",9.3,"
        (175721人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s23128183.jpg,杀死一只知更鸟,"
        
  
  [美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元

      ",9.2,"
        (96400人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s24575140.jpg,许三观卖血记,"
        
  
  余华 / 作家出版社 / 2012-9 / 24.00元

      ",9.0,"
        (68695人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,三体全集,"
        
  
  刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元

      ",9.4,"
        (85318人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4468484.jpg,局外人,"
        
  
  [法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元

      ",9.0,"
        (156086人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s11284102.jpg,霍乱时期的爱情,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元

      ",9.0,"
        (208290人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s2768378.jpg,三体,"
        
  
  刘慈欣 / 重庆出版社 / 2008-1 / 23.00

      ",8.8,"
        (397305人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33712151.jpg,蛤蟆先生去看心理医生,"
        
  
  【英】罗伯特·戴博德 / 陈赢 / 天津人民出版社 / 2020-8-1 / 38.00元

      ",8.7,"
        (15880人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33685372.jpg,绝叫,"
        
  
  [日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00

      ",8.7,"
        (7660人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s32266692.jpg,人生海海,"
        
  
  麦家 / 北京十月文艺出版社 / 2019-4 / 55.00元

      ",8.1,"
        (45660人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29799055.jpg,云边有个小卖部,"
        
  
  张嘉佳 / 湖南文艺出版社 / 2018-7 / 42.00元

      ",7.6,"
        (43270人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29634528.jpg,月亮与六便士,"
        
  
  [英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元

      ",8.8,"
        (170042人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s11276847.jpg,围城,"
        
  
  钱钟书 / 人民文学出版社 / 1991-2-1 / 39.00元

      ",9.3,"
        (65072人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29663109.jpg,默读,"
        
  
  Priest / 百花洲文艺出版社 / 2018-1 / 45.00

      ",8.3,"
        (40826人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33682883.jpg,两京十五日,"
        
  
  马伯庸 / 湖南文艺出版社 / 2020-7 / 108.00元

      ",8.1,"
        (9845人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33513675.jpg,马可瓦尔多,"
        
  
  [意] 伊塔洛·卡尔维诺 / 马小漠 / 译林出版社 / 2020-1 / 42.00元

      ",9.0,"
        (3361人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1144911.jpg,平凡的世界（全三部）,"
        
  
  路遥 / 人民文学出版社 / 2005-1 / 64.00元

      ",9.0,"
        (271459人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33593231.jpg,生吞,"
        
  
  郑执 / 浙江文艺出版社 / 2017-11-1 / 39.00

      ",8.0,"
        (27886人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33659613.jpg,回归故里,"
        
  
  [法]迪迪埃·埃里蓬 / 王献 / 上海文化出版社 / 2020-7 / 48.00元

      ",8.9,"
        (8328人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s3254244.jpg,嫌疑人X的献身,"
        
  
  [日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00

      ",8.9,"
        (443854人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1070222.jpg,围城,"
        
  
  钱锺书 / 人民文学出版社 / 1991-2 / 19.00

      ",8.9,"
        (395261人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,飘,"
        
  
  [美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元

      ",9.3,"
        (174508人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28111905.jpg,白鹿原,"
        
  
  陈忠实 / 人民文学出版社 / 2012-9 / 39.00元

      ",9.2,"
        (62631人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33642427.jpg,烧纸,"
        
  
  [韩] 李沧东 / 金冉 / 武汉大学出版社 / 2020-5 / 58.00

      ",8.6,"
        (6218人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33821754.jpg,克拉拉与太阳,"
        
  
  [英] 石黑一雄 / 宋佥 / 上海译文出版社 / 2021-3 / 68.00

      ",8.4,"
        (1604人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s28332051.jpg,斯通纳,"
        
  
  [美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元

      ",8.8,"
        (39501人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29069735.jpg,恶意,"
        
  
  [日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11-1 / 39.50元

      ",8.7,"
        (50767人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s28050760.jpg,献给阿尔吉侬的花束,"
        
  
  [美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元

      ",9.1,"
        (25116人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29164777.jpg,我的天才女友,"
        
  
  [意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元

      ",8.6,"
        (69602人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s2659208.jpg,月亮和六便士,"
        
  
  [英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元

      ",9.0,"
        (157293人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s27003191.jpg,鼠疫,"
        
  
  (法)阿尔贝·加缪 / 刘方 / 上海译文出版社 / 2013-8 / 34.00元

      ",9.0,"
        (34965人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29477615.jpg,美丽新世界,"
        
  
  [英] 赫胥黎 / 陈超 / 上海译文出版社 / 2017-6 / 45.00元

      ",9.1,"
        (19945人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29520401.jpg,飞行家,"
        
  
  双雪涛 / 广西师范大学出版社 / 2017-8 / 45.00元

      ",8.1,"
        (13974人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s3668327.jpg,牧羊少年奇幻之旅,"
        
  
  [巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元

      ",8.5,"
        (133504人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s2347590.jpg,动物农场,"
        
  
  [英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元

      ",9.2,"
        (108289人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s8865866.jpg,平凡的世界,"
        
  
  路遥 / 北京十月文艺出版社 / 2012-3-1 / CNY 79.80

      ",9.0,"
        (50769人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,明朝那些事儿（1-9）,"
        
  
  当年明月 / 中国海关出版社 / 2009-4 / 358.20元

      ",9.1,"
        (109676人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1146040.jpg,骆驼祥子,"
        
  
  老舍 / 人民文学出版社 / 2000-3-1 / 12.00

      ",8.4,"
        (166330人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33653407.jpg,银河系边缘的小失常,"
        
  
  [以色列] 埃特加·凯雷特 / 方铁 / 浦睿文化·湖南文艺出版社 / 2020-5 / 49.00元

      ",8.1,"
        (6191人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33625558.jpg,光明共和国,"
        
  
  [西]安德烈斯·巴尔瓦 / 蔡学娣 / 广西师范大学出版社 / 2020-4 / 46

      ",8.7,"
        (3312人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29350294.jpg,杀死一只知更鸟,"
        
  
  [美] 哈珀·李 / 李育超 / 译林出版社 / 2017-2 / 48.00

      ",9.3,"
        (29034人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33782203.jpg,野猪渡河,"
        
  
  张贵兴 / 后浪丨四川人民出版社 / 2021-1 / 58.00元

      ",8.8,"
        (473人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1595557.jpg,边城,"
        
  
  沈从文、黄永玉 卓雅 插图. / 北岳文艺出版社 / 2002-4 / 12.00元

      ",8.7,"
        (193203人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33463759.jpg,82年生的金智英,"
        
  
  [韩]赵南柱 / 尹嘉玄 / 贵州人民出版社 / 2019-9 / 45.00元

      ",7.9,"
        (64556人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s6916838.jpg,一句顶一万句,"
        
  
  刘震云 / 长江文艺出版社 / 2009-3 / 29.80

      ",8.7,"
        (43784人评价)
    "
