封面,标题,出版信息,评分,评价人数
https://img3.doubanio.com/view/subject/s/public/s33712151.jpg,蛤蟆先生去看心理医生,"
        
  
  【英】罗伯特·戴博德 / 陈赢 / 天津人民出版社 / 2020-8-1 / 38.00元

      ",8.7,"
        (15880人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33323852.jpg,被讨厌的勇气,"
        
  
  岸见一郎、古贺史健 / 渠海霞 / 机械工业出版社 / 2015-3-1 / 39.8

      ",8.6,"
        (45969人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33776227.jpg,沉默的病人,"
        
  
  [英]亚历克斯·麦克利兹 / 祁阿红 / 河南文艺出版社 / 2020-12-1 / 45.00

      ",7.9,"
        (10801人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29497110.jpg,亲密关系,"
        
  
  [美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 / 人民邮电出版社 / 2015-6 / 138.00元

      ",9.4,"
        (7600人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s2144391.jpg,少有人走的路,"
        
  
  [美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元

      ",8.3,"
        (86959人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1670932.jpg,社会心理学,"
        
  
  [美] 戴维·迈尔斯 / 张智勇、乐国安、侯玉波 等 / 人民邮电出版社 / 2006-1 / 68.00元

      ",9.0,"
        (20462人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s9346487.jpg,非暴力沟通,"
        
  
  [美] 马歇尔·卢森堡 / 阮胤华 / 华夏出版社 / 2009-1 / 29.00元

      ",8.4,"
        (44899人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33617061.jpg,这才是心理学（第11版）,"
        
  
  [加拿大] 基思·斯坦诺维奇 / 窦东徽、刘肖岑 / 人民邮电出版社 / 2020-4-1 / 78.00元

      ",9.2,"
        (589人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2990934.jpg,爱的艺术,"
        
  
  [美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元

      ",8.8,"
        (33093人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1988393.jpg,乌合之众,"
        
  
  （法）勒庞 / 冯克利 / 中央编译出版社 / 2014-5-1 / 16.00元

      ",8.2,"
        (106472人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33748887.jpg,偏见的本质,"
        
  
  [美]戈登·奥尔波特 / 凌晨 / 后浪丨九州出版社 / 2020-10 / 99.80元

      ",8.4,"
        (700人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s2783843.jpg,社会性动物,"
        
  
  Elliot Aronson / 邢占军 / 华东师范大学出版社 / 2007-12 / 45.00元

      ",9.1,"
        (10186人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29746097.jpg,原生家庭,"
        
  
  （美）苏珊·福沃德博士、（美）克雷格·巴克 / 黄姝、王婷 / 北京时代华文书局│阳光博客 / 2018-5 / 58.00

      ",8.3,"
        (10496人评价)
    "
