封面,标题,出版信息,评分,评价人数
https://img9.doubanio.com/view/subject/s/public/s33539755.jpg,摄影师手册,"
        
  
  [英]大卫·赫恩、[英]比尔·杰伊 / 纸上造物 / 新星出版社 / 2019-12-12 / 36.00元

      ",8.5,"
        (389人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33797694.jpg,阴翳礼赞（摄影集）,"
        
  
  [日]谷崎润一郎、[日]大川裕弘 / 代珂 / 浦睿文化 · 湖南美术出版社 / 2021-2 / 78.00元

      ",8.2,"
        (158人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33774903.jpg,阿拉·古勒的伊斯坦布尔,"
        
  
  [土耳其] 阿拉·古勒 摄影  [土耳其]奥尔罕·帕慕克 序 / 邓金明 / 世纪文景|上海人民出版社 / 2020-11-30 / 149.00元

      ",9.2,"
        (231人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s4501907.jpg,论摄影,"
        
  
  [美] 苏珊·桑塔格 / 黄灿然 / 上海译文出版社 / 2010-5 / 38.00元

      ",8.8,"
        (6332人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29911559.jpg,十九岁的时差,"
        
  
  王俊凯 / 新星 / 2018-8 / 88.00元

      ",8.5,"
        (16805人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s2181217.jpg,美国纽约摄影学院摄影教材（上）,"
        
  
  美国纽约摄影学院 / 李之聪 / 中国摄影出版社 / 2000-03 / 90.00元

      ",9.1,"
        (10572人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33501396.jpg,这里是中国,"
        
  
  星球研究所、中国青藏高原研究会 / 中信出版集团 / 2019-9 / 168.00元

      ",8.2,"
        (4743人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33809923.jpg,森林、冰河与鲸,"
        
  
  [日]星野道夫（Michio Hoshino） / 曹逸冰 / 广西师范大学出版社 / 2021-1 / 52.00元

      ",9.3,"
        (66人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s8865309.jpg,一本摄影书,"
        
  
  赵嘉、爱摄影工社 / 电子工业出版社 / 2012-2 / 98.00元

      ",8.3,"
        (1073人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1740662.jpg,摄影构图学,"
        
  
  【美】本·克来门茨、大卫·罗森菲尔德 / 姜雯、林少忠 / 长城出版社 / 1983-1 / 25.00元

      ",8.9,"
        (1922人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33823579.jpg,再见，西贡,"
        
  
  [法] 雷蒙·德帕尔东、Raymond Depardon / 吕俊君 / 后浪丨九州出版社 / 2021-3 / 168.00元

      ",7.9,"
        (32人评价)
    "
