封面,标题,出版信息,评分,评价人数
https://img3.doubanio.com/view/subject/s/public/s33783660.jpg,弃猫,"
        
  
  [日] 村上春树 / 烨伊 / 文治图书 / 花城出版社 / 2021-1 / 48.00

      ",7.4,"
        (7961人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1066570.jpg,撒哈拉的故事,"
        
  
  三毛 / 哈尔滨出版社 / 2003-8 / 15.80元

      ",9.2,"
        (106550人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1015872.jpg,我们仨,"
        
  
  杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元

      ",8.7,"
        (259891人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s2875823.jpg,朝花夕拾,"
        
  
  鲁迅 / 人民文学出版社 / 1972-4 / 0.25元

      ",8.9,"
        (107847人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1151479.jpg,我与地坛,"
        
  
  史铁生 / 春风文艺出版社 / 2002-5 / 25.00元

      ",9.1,"
        (70010人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,沉默的大多数,"
        
  
  王小波 / 中国青年出版社 / 1997-10 / 27.00元

      ",9.1,"
        (114684人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1201610.jpg,人间草木,"
        
  
  汪曾祺 / 江苏文艺出版社 / 2005-01 / 20.00元

      ",9.1,"
        (19640人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2280094.jpg,浮生六记,"
        
  
  （清）沈复 / 人民文学出版社 / 1999-1 / 5.70元

      ",8.8,"
        (53443人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s27943411.jpg,皮囊,"
        
  
  蔡崇达 / 天津人民出版社 / 2014-12-1 / 39.80元

      ",7.6,"
        (94368人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s27226968.jpg,文化苦旅,"
        
  
  余秋雨 / 长江文艺出版社 / 2014-2 / 38.00元

      ",8.1,"
        (22728人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33513675.jpg,马可瓦尔多,"
        
  
  [意] 伊塔洛·卡尔维诺 / 马小漠 / 译林出版社 / 2020-1 / 42.00元

      ",9.0,"
        (3361人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s6780941.jpg,撒哈拉的故事,"
        
  
  三毛 / 北京十月文艺出版社 / 2011-1-7 / 24.00元

      ",9.3,"
        (55820人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29878650.jpg,遥远的向日葵地,"
        
  
  李娟 / 花城出版社 / 2017-11 / 38.00元

      ",9.0,"
        (10244人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33620108.jpg,巷里林泉,"
        
  
  故园风雨前 / 长江文艺出版社 / 2020-5 / 58.00元

      ",9.0,"
        (861人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s3984108.jpg,目送,"
        
  
  龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元

      ",8.6,"
        (193171人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s4661043.jpg,爱你就像爱生命,"
        
  
  王小波、李银河 / 上海锦绣文章出版社 / 2008-5 / 18.00元

      ",8.8,"
        (92935人评价)
    "
