封面,标题,出版信息,评分,评价人数
https://img1.doubanio.com/view/subject/s/public/s33762397.jpg,100天后会死的鳄鱼君,"
        
  
  [日]菊池祐纪 / 毛丹青 / 接力出版社 / 2020-11-3 / 45

      ",8.2,"
        (3494人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33802961.jpg,现实主义者,"
        
  
  [以] 阿萨夫·哈努卡 / 张琦 / 后浪丨广东旅游出版社 / 2021-2-1 / 138.00

      ",9.0,"
        (463人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33662063.jpg,生活蒙太奇,"
        
  
  天然 / 湖南文艺出版社 / 2020-7 / 128.00元

      ",9.0,"
        (3326人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33682886.jpg,旋涡 （全2册）,"
        
  
  [日] 伊藤润二 / 穆迪 / 新星出版社 / 2020-8 / 99.00元

      ",9.2,"
        (2738人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33718992.jpg,梦之囚徒：起源,"
        
  
  [法] 马克-安托万·马修 / 徐峰 / 后浪丨上海文化出版社 / 2020-11 / 68.00元

      ",9.1,"
        (691人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s27225148.jpg,トレインビースト〜KAI〜,"
        
  
  西野花、緒田涼歌 / 白泉社 / 2014-2-20 / JPY 740

      ",,"
        (195人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33708031.jpg,不方便，但很幸福,"
        
  
  [韩] 洪渊植 编绘 / 米糕 / 后浪丨湖南美术出版社 / 2020-9 / 84.00

      ",8.9,"
        (925人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33667317.jpg,纳闷集,"
        
  
  匡扶 / 雅众文化 | 湖南文艺出版社 / 2020-6 / 78元

      ",9.1,"
        (3906人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28369176.jpg,你今天真好看,"
        
  
  [美]莉兹•克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-7 / 39.00元

      ",8.6,"
        (74145人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33698803.jpg,缅甸小日子,"
        
  
  [加]盖·德利斯勒 / 王大莹 / 后浪丨湖南美术出版社 / 2020-9 / 62.00元

      ",8.6,"
        (821人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33763757.jpg,伊藤润二短篇精选集,"
        
  
  [日] 伊藤润二 / 金静和 / 新星出版社 / 2020-12 / 98.00元

      ",8.9,"
        (983人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29492853.jpg,半小时漫画中国史（修订版）,"
        
  
  二混子 / 江苏凤凰文艺出版社 / 2017-4-10 / 39.90元

      ",7.5,"
        (21772人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s30017607.jpg,チェンソーマン 1,"
        
  
  藤本 タツキ / 集英社 / 2019-3-4 / JPY 475

      ",8.6,"
        (2242人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33826853.jpg,半小时漫画经济学,"
        
  
  陈磊·半小时漫画团队 / 海南出版社 / 2019-8 / 49.90元

      ",6.7,"
        (7047人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28685416.jpg,我可以咬一口吗,"
        
  
  [美] 莉兹·克里莫 / 周高逸 / 天津人民出版社 / 2016-4 / 39.00元

      ",8.7,"
        (24271人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33759201.jpg,梦之囚徒：无限循环,"
        
  
  [法] 马克-安托万·马修 / 蒯佳 / 后浪 | 上海文化出版社 / 2020-12 / 74.00元

      ",9.5,"
        (374人评价)
    "
