封面,标题,出版信息,评分,评价人数
https://img9.doubanio.com/view/subject/s/public/s33683876.jpg,把自己作为方法,"
        
  
  项飙、吴琦 / 上海文艺出版社 / 2020-7-1 / 48.00元

      ",8.5,"
        (12524人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33792562.jpg,下沉年代,"
        
  
  [美] 乔治·帕克 (George Packer) / 刘冉 / 文汇出版社 / 2021-1 / 108

      ",9.0,"
        (1041人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33659613.jpg,回归故里,"
        
  
  [法]迪迪埃·埃里蓬 / 王献 / 上海文化出版社 / 2020-7 / 48.00元

      ",8.9,"
        (8328人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33723475.jpg,父权制与资本主义,"
        
  
  [日] 上野千鹤子 / 邹韵、薛梅 / 浙江大学出版社 / 2020-3 / 58.00元

      ",9.1,"
        (2938人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1665415.jpg,乡土中国,"
        
  
  费孝通 / 上海人民出版社 / 2006-4 / 38.00

      ",9.2,"
        (48124人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,人类简史,"
        
  
  [以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00

      ",9.1,"
        (149762人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27838442.jpg,厌女,"
        
  
  (日) 上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00

      ",8.9,"
        (11728人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28048575.jpg,娱乐至死,"
        
  
  [美] 尼尔·波兹曼 / 章艳 / 中信出版集团 / 2015-5 / 38.00元

      ",8.4,"
        (21190人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29497110.jpg,亲密关系,"
        
  
  [美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 / 人民邮电出版社 / 2015-6 / 138.00元

      ",9.4,"
        (7600人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s28355811.jpg,最好的告别,"
        
  
  [美] 阿图·葛文德（Atul Gawande） / 彭小华 / 浙江人民出版社 / 2015-7-31 / 54.90元

      ",9.0,"
        (30930人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33542046.jpg,饱食穷民,"
        
  
  [日] 斋藤茂男 / 王晓夏 / 浙江人民出版社 / 2020-1 / 45.00元

      ",8.1,"
        (5709人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29673011.jpg,跨越边界的社区（修订版）,"
        
  
  项飙 / 生活·读书·新知三联书店 / 2018-3 / 68.00元

      ",9.5,"
        (3937人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33702245.jpg,我的二本学生,"
        
  
  黄灯 / 人民文学出版社 / 2020-8-1 / 45.00元

      ",7.7,"
        (6041人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33743524.jpg,如何抑止女性写作,"
        
  
  [美]乔安娜·拉斯（Joanna Russ） / 章艳 / 南京大学出版社 / 2020-11 / 49

      ",9.0,"
        (692人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33748887.jpg,偏见的本质,"
        
  
  [美]戈登·奥尔波特 / 凌晨 / 后浪丨九州出版社 / 2020-10 / 99.80元

      ",8.4,"
        (700人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1670932.jpg,社会心理学,"
        
  
  [美] 戴维·迈尔斯 / 张智勇、乐国安、侯玉波 等 / 人民邮电出版社 / 2006-1 / 68.00元

      ",9.0,"
        (20462人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1988393.jpg,乌合之众,"
        
  
  （法）勒庞 / 冯克利 / 中央编译出版社 / 2014-5-1 / 16.00元

      ",8.2,"
        (106472人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s24468373.jpg,看见,"
        
  
  柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元

      ",8.8,"
        (293899人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1738643.jpg,枪炮、病菌与钢铁,"
        
  
  [美] 贾雷德·戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元

      ",8.7,"
        (37093人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s26693881.jpg,贫穷的本质,"
        
  
  阿比吉特•班纳吉 (Abhijit V.Banerjee)、埃斯特•迪弗洛 (Esther Duflo) / 景芳 / 中信出版社 / 2013-4-1 / 58.00元

      ",7.5,"
        (9205人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33842942.jpg,来不及说再见的青春,"
        
  
  钟楚曦、罗晋、谭松韵、潘云贵、王天宁、另维 / 长江出版社 / 2021-3-1 / 59.8

      ",9.2,"
        (725人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s2783843.jpg,社会性动物,"
        
  
  Elliot Aronson / 邢占军 / 华东师范大学出版社 / 2007-12 / 45.00元

      ",9.1,"
        (10186人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29406954.jpg,社会学的想象力,"
        
  
  [美] C.赖特·米尔斯 / 李康、李钧鹏 / 北京师范大学出版社 / 2017-3-2 / 48.00元

      ",9.1,"
        (3008人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33808301.jpg,美国生活中的反智主义,"
        
  
  [美] 理查德·霍夫施塔特 / 何博超 / 译林出版社 / 2021-3 / 68.00元

      ",9.2,"
        (106人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33778140.jpg,美国不平等的起源,"
        
  
  [美] 伊莎贝尔·威尔克森 / 姚向辉、顾冰珂 / 浦睿文化·湖南文艺出版社 / 2021-1-31 / 79.00元

      ",7.8,"
        (260人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29287103.jpg,未来简史,"
        
  
  [以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2 / 68.00元

      ",8.4,"
        (45285人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s2522397.jpg,规训与惩罚,"
        
  
  [法] 米歇尔·福柯 / 刘北成、杨远婴 / 生活·读书·新知三联书店 / 2003-1 / 21.80元

      ",9.2,"
        (7371人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s32271204.jpg,江城,"
        
  
  [美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元

      ",9.1,"
        (42610人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s11214645.jpg,自私的基因,"
        
  
  [英]理查德·道金斯 / 卢允中、张岱云、陈复加、罗小舟 / 中信出版社 / 2012-9 / 68.00元

      ",8.5,"
        (14064人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s28118682.jpg,叫魂,"
        
  
  [美]孔飞力 / 陈兼、刘昶 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元

      ",9.2,"
        (5241人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s2133573.jpg,家庭、私有制和国家的起源,"
        
  
  恩格斯 / 人民出版社 / 2003-5-1 / 12.00元

      ",9.0,"
        (2936人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29403272.jpg,与社会学同游,"
        
  
  [美] 彼得·L.伯格 / 何道宽 / 北京大学出版社 / 2014-10 / 33

      ",9.2,"
        (2095人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s8873145.jpg,潜规则（修订版）,"
        
  
  吴思 / 复旦大学出版社 / 2009-2 / 28.00

      ",8.2,"
        (7416人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33541759.jpg,消费社会,"
        
  
  [法] 让·鲍德里亚 / 刘成富、全志钢 / 南京大学出版社 / 2014-10-1 / 32.00元

      ",8.4,"
        (2953人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28789195.jpg,江村经济,"
        
  
  费孝通 / 戴可景 / 北京大学出版社 / 2012-11 / 28.00元

      ",9.2,"
        (3358人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s32332471.jpg,时间的秩序,"
        
  
  [意] 卡洛·罗韦利 / 杨光 / 湖南科学技术出版社 / 2019-6 / 56.00元

      ",8.9,"
        (13690人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29009773.jpg,政治秩序的起源,"
        
  
  [美] 弗朗西斯·福山 / 毛俊杰 / 广西师范大学出版社 / 2014-9 / 88.00元

      ",8.7,"
        (4051人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s27460867.jpg,发现社会,"
        
  
  [美]兰德尔·柯林斯、[美]迈克尔·马科夫斯基 / 李霞 / 商务印书馆 / 2014-5 / 39.00

      ",9.5,"
        (1144人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29860119.jpg,资本论,"
        
  
  马克思 / 人民出版社 / 2018-5 / 240.00

      ",9.8,"
        (538人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s28036829.jpg,狂热分子,"
        
  
  [美] 埃里克·霍弗 / 梁永安 / 广西师范大学出版社 / 2011-6 / 34.00元

      ",8.9,"
        (11508人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1074166.jpg,菊与刀,"
        
  
  （美）鲁思・本尼迪克特 / 吕万和、熊达云、王智新 / 商务印书馆 / 1990-6 / 16.00

      ",8.2,"
        (60869人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s4643548.jpg,亲密关系,"
        
  
  罗兰•米勒 (Rowland Miller)、丹尼尔•珀尔曼 (Daniel Perlman) / 王伟平 / 人民邮电出版社 / 2011-1-1 / 68.00元

      ",9.0,"
        (14582人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29786993.jpg,不平等的童年,"
        
  
  [美]安妮特·拉鲁 / 宋爽、张旭 / 北京大学出版社 / 2018-6 / 79

      ",8.9,"
        (695人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s5902664.jpg,日常生活中的自我呈现,"
        
  
  欧文·戈夫曼 / 冯钢 / 北京大学出版社 / 2016-5-16 / CNY 35.00

      ",8.6,"
        (3988人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28242755.jpg,逃避自由,"
        
  
  [美] 艾里希·弗洛姆 / 刘林海 / 上海译文出版社 / 2015-6 / 28.00元

      ",9.2,"
        (5568人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33644580.jpg,故土的陌生人,"
        
  
  [美] 阿莉·拉塞尔·霍赫希尔德 / 夏凡 / 社会科学文献出版社 / 2020-5 / 69.00元

      ",8.3,"
        (620人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s30018066.jpg,无缘社会,"
        
  
  日本NHK特别节目录制组 / 高培明 / 上海译文出版社 / 2014-3 / CNY 45.00

      ",8.3,"
        (12237人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4085836.jpg,乡土中国,"
        
  
  费孝通 / 人民出版社 / 2008-10 / 16.00元

      ",9.3,"
        (7726人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33534661.jpg,现实的社会建构,"
        
  
  [美] 彼得·伯格、[美] 托马斯·卢克曼 / 吴肃然 / 北京大学出版社 / 2019-3 / 38.00元

      ",9.4,"
        (932人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1659154.jpg,单向度的人,"
        
  
  (美)赫伯特·马尔库塞 / 刘继 / 上海译文出版社 / 2006-4 / 20.00元

      ",8.5,"
        (3275人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33300502.jpg,倦怠社会,"
        
  
  [德] 韩炳哲 / 王一力 / 中信出版集团 / 2019-6-1 / 35.00元

      ",7.9,"
        (2814人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s6927676.jpg,禅与摩托车维修艺术,"
        
  
  (美)罗伯特·M.波西格 / 张国辰 / 重庆出版社 / 2011-9 / 36.00元

      ",8.2,"
        (16528人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33693939.jpg,岂不怀归,"
        
  
  田丰、林凯玄 / 海豚出版社 / 2020-8 / 58.00元

      ",7.4,"
        (2214人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33615858.jpg,什么是民粹主义？,"
        
  
  [德]扬—维尔纳·米勒（Jan-Werner Müller） / 钱静远 / 译林出版社 / 2020-5 / 49.00

      ",8.0,"
        (1937人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s24456540.jpg,乡土中国,"
        
  
  费孝通 / 北京大学出版社 / 2012-10 / 22.00元

      ",9.2,"
        (6762人评价)
    "
