封面,标题,出版信息,评分,评价人数
https://img3.doubanio.com/view/subject/s/public/s32332471.jpg,时间的秩序,"
        
  
  [意] 卡洛·罗韦利 / 杨光 / 湖南科学技术出版社 / 2019-6 / 56.00元

      ",8.9,"
        (13690人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1914861.jpg,时间简史,"
        
  
  [英] 史蒂芬·霍金 / 许明贤、吴忠超 / 湖南科学技术出版社 / 2010-4 / 45.00元

      ",8.8,"
        (51433人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s2516920.jpg,从一到无穷大,"
        
  
  [美] G. 伽莫夫 / 暴永宁 译、吴伯泽 校 / 科学出版社 / 2002-11 / 29.00元

      ",9.1,"
        (11052人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1789059.jpg,哥德尔、艾舍尔、巴赫,"
        
  
  [美] 侯世达 / 严勇、刘皓明、莫大伟 / 商务印书馆 / 1997-5 / 88.00元

      ",9.4,"
        (6857人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1486674.jpg,上帝掷骰子吗,"
        
  
  曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元

      ",9.2,"
        (26224人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33736761.jpg,仿制药的真相,"
        
  
  [美] 凯瑟琳·埃班 / 高天羽 / 民主与建设出版社 / 2020-10 / 58

      ",8.7,"
        (1570人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33617061.jpg,这才是心理学（第11版）,"
        
  
  [加拿大] 基思·斯坦诺维奇 / 窦东徽、刘肖岑 / 人民邮电出版社 / 2020-4-1 / 78.00元

      ",9.2,"
        (589人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s24598159.jpg,众病之王,"
        
  
  [美] 悉达多·穆克吉 / 李虎 / 中信出版社 / 2013-2-4 / 42.00元

      ",9.1,"
        (9569人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33644728.jpg,how to,"
        
  
  [美]兰道尔·门罗 / Ent / 天津科学技术出版社 / 2020-4-1 / 48

      ",8.3,"
        (765人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s2905586.jpg,生命是什么,"
        
  
  埃尔温•薛定谔 / 罗来欧、罗辽复 / 湖南科学技术出版社 / 2007-4-1 / 19.00元

      ",8.7,"
        (3573人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s32344288.jpg,上帝掷骰子吗？,"
        
  
  曹天元 / 北京联合出版公司 / 2019-6-1 / 59.80元

      ",9.0,"
        (2907人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33536021.jpg,大图景,"
        
  
  [美]肖恩·卡罗尔 / 方弦、ENT审校 / 湖南科学技术出版社 / 2019-12 / 89元

      ",8.9,"
        (454人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s24227318.jpg,科学革命的结构,"
        
  
  [美]托马斯·库恩、[美]伊安·哈金 (导读) / 金吾伦、胡新和 / 北京大学出版社 / 2012-11 / 29.00元

      ",9.0,"
        (1877人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1027286.jpg,别闹了，费曼先生,"
        
  
  [美] 理查德·费曼 / 吴程远 / 生活·读书·新知三联书店 / 1997-12 / 22.00

      ",8.9,"
        (9430人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33471187.jpg,万物发明指南,"
        
  
  [加] 瑞安·诺思 / 王乔琦 / 中信出版社 / 2019-9-20 / 78.00

      ",8.8,"
        (910人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29809453.jpg,规模,"
        
  
  杰弗里·韦斯特 (Geoffrey West) / 张培 / 中信出版社 / 2018-6-1 / CNY 98.00

      ",8.0,"
        (1857人评价)
    "
