封面,标题,出版信息,评分,评价人数
https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,人类简史,"
        
  
  [以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00

      ",9.1,"
        (149762人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s32332471.jpg,时间的秩序,"
        
  
  [意] 卡洛·罗韦利 / 杨光 / 湖南科学技术出版社 / 2019-6 / 56.00元

      ",8.9,"
        (13690人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33677194.jpg,人体简史,"
        
  
  [英] 比尔·布莱森 / 闾佳 / 文汇出版社 / 2020-6-1 / 69.9

      ",8.6,"
        (2068人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29802866.jpg,人类简史,"
        
  
  [以] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版集团 / 2017-2-1 / 68.00元

      ",9.1,"
        (23794人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33525533.jpg,地球上最孤单的动物,"
        
  
  [英] 米莉·玛洛塔 / 孙依静 / 后浪丨四川美术出版社 / 2020-2 / 99.80元

      ",9.1,"
        (1891人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33734635.jpg,复杂生命的起源,"
        
  
  [英] 尼克·莱恩（Nick Lane） / 严曦 / 后浪丨贵州大学出版社 / 2020-11 / 84.00元

      ",9.4,"
        (324人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33821128.jpg,我们为什么要睡觉？,"
        
  
  [英] 马修·沃克 / 田盈春 / 后浪丨北京联合出版公司 / 2021-3 / 60.00元

      ",8.9,"
        (253人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s28355811.jpg,最好的告别,"
        
  
  [美] 阿图·葛文德（Atul Gawande） / 彭小华 / 浙江人民出版社 / 2015-7-31 / 54.90元

      ",9.0,"
        (30930人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1486674.jpg,上帝掷骰子吗,"
        
  
  曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元

      ",9.2,"
        (26224人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28073424.jpg,哲学家们都干了些什么,"
        
  
  林欣浩 / 北京联合出版公司 / 2015-4 / 52.00元

      ",8.6,"
        (18766人评价)
    "
