封面,标题,出版信息,评分,评价人数
https://img1.doubanio.com/view/subject/s/public/s33784858.jpg,不拘一格,"
        
  
  [美]里德·哈斯廷斯, [美]艾琳·迈耶 / 杨占 / 中信出版社 / 2021-1-1 / 69.00

      ",8.1,"
        (1141人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29643861.jpg,原则,"
        
  
  [美] 瑞·达利欧 / 刘波、綦相 / 中信出版社 / 2018-1 / CNY 98.00

      ",8.3,"
        (26204人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1429010.jpg,富爸爸，穷爸爸,"
        
  
  （美）罗伯特・T・清崎、莎伦・L・莱希特 / 杨君、杨明 / 世界图书出版公司 / 2000-09 / 18.80

      ",8.3,"
        (64686人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s4510907.jpg,高效能人士的七个习惯,"
        
  
  史蒂芬·柯维 / 高新勇、王亦兵、葛雪蕾 / 中国青年出版社 / 2018-5-1 / 49.00元

      ",8.4,"
        (13688人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1441092.jpg,卓有成效的管理者,"
        
  
  [美] 彼得·德鲁克 / 许是祥 / 机械工业出版社 / 2005-6 / 28.00元

      ",8.7,"
        (14495人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1657785.jpg,影响力,"
        
  
  [美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元

      ",8.6,"
        (43008人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29923776.jpg,奈飞文化手册,"
        
  
  [美] 帕蒂·麦考德 / 范珂 / 浙江教育出版社 / 2018-10 / 69

      ",8.0,"
        (5267人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s6807265.jpg,浪潮之巅,"
        
  
  吴军 / 电子工业出版社 / 2011-8 / 55.00元

      ",9.0,"
        (28674人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33687481.jpg,苏世民：我的经验与教训,"
        
  
  [美] 苏世民 / 赵灿 / 中信出版社 / 2020-1 / 98.00元

      ",8.2,"
        (3980人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33698885.jpg,分析与思考,"
        
  
  黄奇帆 / 上海人民出版社 / 2020-7 / 98.00元

      ",9.3,"
        (1100人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1265183.jpg,活法,"
        
  
  （日）稻盛和夫 / 周庆玲 / 东方出版社 / 2005-03 / 24.00元

      ",8.1,"
        (11311人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33565235.jpg,掌控习惯,"
        
  
  【美】詹姆斯·克利尔（James Clear） / 迩东晨 / 北京联合出版公司 / 2019-7 / 56.00

      ",8.6,"
        (4398人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s3203360.jpg,激荡三十年,"
        
  
  吴晓波 / 中信出版社 / 2008-7-1 / 32.00元

      ",8.6,"
        (13144人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29808796.jpg,OKR工作法,"
        
  
  克里斯蒂娜•沃特克 (Christina Wodtke) / 明道团队 / 中信出版社 / 2017-9-1 / CNY 42.00

      ",7.4,"
        (4781人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s24607181.jpg,怦然心动的人生整理魔法,"
        
  
  〔日本〕近藤麻理惠 / 徐明中 / 译林出版社 / 2012-5 / 28.00元

      ",8.0,"
        (16422人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29733058.jpg,巴菲特致股东的信,"
        
  
  [美]沃伦·巴菲特 / 杨天南 / 机械工业出版社 / 2018-3 / 99.00元

      ",9.0,"
        (1540人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28299265.jpg,从0到1,"
        
  
  彼得·蒂尔、布莱克·马斯特斯 / 高玉芳 / 中信出版社 / 2015-1-1 / CNY 45.00

      ",7.5,"
        (26080人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28324536.jpg,干法,"
        
  
  [日] 稻盛和夫 / 曹岫云 / 机械工业出版社 / 2015-5 / 39.00元

      ",7.5,"
        (2924人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1320333.jpg,赢,"
        
  
  （美） 杰克•韦尔奇，苏茜•韦尔奇 / 余江 / 中信出版社 / 2005-5 / 35.00元

      ",8.2,"
        (7696人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s6522971.jpg,领导梯队,"
        
  
  拉姆•查兰 (Ram Charan)、斯蒂芬•德罗特 (Stephen Drotter)、詹姆斯•诺埃尔 (James Noel) / 徐中、林嵩、雷静 / 机械工业出版社 / 2011-7 / 42.00元

      ",8.3,"
        (1243人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29944760.jpg,掌控谈话,"
        
  
  [美] Chris Voss、[美] Tahl Raz / 赵坤 / 北京联合出版公司 / 2018-10-1 / 56.00元

      ",8.2,"
        (1606人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28571694.jpg,硅谷钢铁侠,"
        
  
  [美] 阿什利·万斯 / 周恒星 / 中信出版集团 / 2016-4 / 68.00元

      ",8.1,"
        (9714人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s4354613.jpg,管理的实践,"
        
  
  彼得•德鲁克 (Peter F. Drucker) / 机械工业出版社 / 2009-9-1 / 49.00元

      ",9.0,"
        (1000人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4578724.jpg,定位,"
        
  
  杰克·特劳特（Jack Trout）、阿尔·里斯（AL Ries） / 谢伟山、苑爱冬 / 机械工业出版社 / 2011-1-1 / 42.00元

      ",8.0,"
        (8649人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s27882050.jpg,零售的哲学,"
        
  
  [日] 铃木敏文 / 顾晓琳 / 江苏文艺出版社 / 2014-12-1 / 36

      ",8.1,"
        (7066人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4409486.jpg,创新者的窘境,"
        
  
  克莱顿•克里斯坦森( Clayton M. Christensen ) / 胡建桥 / 中信出版社 / 2010-6 / 38.00元

      ",8.5,"
        (3163人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29635861.jpg,增长黑客,"
        
  
  Sean Ellis / 张溪梦 / 中信出版集团股份有限公司 / 2017-11-1 / CNY 59.00

      ",8.3,"
        (3631人评价)
    "
