封面,标题,出版信息,评分,评价人数
https://img3.doubanio.com/view/subject/s/public/s26693881.jpg,贫穷的本质,"
        
  
  阿比吉特•班纳吉 (Abhijit V.Banerjee)、埃斯特•迪弗洛 (Esther Duflo) / 景芳 / 中信出版社 / 2013-4-1 / 58.00元

      ",7.5,"
        (9205人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s28120578.jpg,经济学原理(第7版),"
        
  
  曼昆 (N.Gregory Mankiw) / 梁小民、梁砾 / 北京大学出版社 / 2015-5-1 / 128

      ",9.6,"
        (3339人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33736887.jpg,结构性改革,"
        
  
  黄奇帆 / 中信出版社 / 2020-6 / 88元

      ",9.1,"
        (1483人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33698885.jpg,分析与思考,"
        
  
  黄奇帆 / 上海人民出版社 / 2020-7 / 98.00元

      ",9.3,"
        (1100人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s3802186.jpg,经济学原理,"
        
  
  [美] N.格里高利·曼昆 / 梁小民、梁砾 / 北京大学出版社 / 2009-4-1 / 54.00元

      ",9.4,"
        (10715人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29841565.jpg,薛兆丰经济学讲义,"
        
  
  薛兆丰 / 中信出版社 / 2018-7-1 / CNY 68.00

      ",8.3,"
        (12166人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s32271479.jpg,棉花帝国,"
        
  
  [美]斯文·贝克特 / 徐轶杰、杨燕 / 后浪丨民主与建设出版社 / 2019-4 / 118.00元

      ",8.5,"
        (2917人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s10345719.jpg,思考，快与慢,"
        
  
  [美] 丹尼尔·卡尼曼 / 胡晓姣、李爱民、何梦莹 / 中信出版社 / 2012-7 / 69.00元

      ",8.1,"
        (15706人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29860119.jpg,资本论,"
        
  
  马克思 / 人民出版社 / 2018-5 / 240.00

      ",9.8,"
        (539人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s2164670.jpg,国富论,"
        
  
  [英] 亚当·斯密 / 唐日松 等 / 华夏出版社 / 2005-1 / 69.00元

      ",9.0,"
        (9922人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29819121.jpg,经济学的思维方式,"
        
  
  [美] 托马斯·索维尔 / 吴建新 / 四川人民出版社 / 2018-8 / 88.00元

      ",8.4,"
        (1494人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s6462582.jpg,聪明的投资者,"
        
  
  本杰明·格雷厄姆、Benjamin Graham / 王中华、黄一义 / 人民邮电出版社 / 2010-8 / 88.00元

      ",8.9,"
        (6397人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29856376.jpg,贫穷的本质,"
        
  
  [印]阿比吉特·班纳吉、[法]埃斯特·迪弗洛 / 景芳 / 中信出版集团 / 2018-9 / 58

      ",7.5,"
        (3800人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29585484.jpg,小岛经济学,"
        
  
  彼得·希夫、安德鲁·希夫 / 胡晓姣、吕靖纬、陈志超 / 中信出版集团股份有限公司 / 2017-3 / 48

      ",8.1,"
        (3440人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s3203360.jpg,激荡三十年,"
        
  
  吴晓波 / 中信出版社 / 2008-7-1 / 32.00元

      ",8.6,"
        (13144人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s1785715.jpg,经济学原理（上下）,"
        
  
  [美] 曼昆 / 梁小民 / 机械工业出版社 / 2003-8 / 88.00元

      ",9.1,"
        (17495人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29440008.jpg,大国大城,"
        
  
  陆铭 / 上海人民出版社 / 2016-7 / 42.00元

      ",8.8,"
        (8008人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s24417497.jpg,金钱不能买什么,"
        
  
  迈克尔•桑德尔 (Michael Sandel) / 邓正来 / 中信出版社 / 2012-12-1 / 59.00元

      ",7.8,"
        (2027人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s26862050.jpg,八次危机,"
        
  
  温铁军 等 / 东方出版社 / 2013-1-1 / 55.00元

      ",8.9,"
        (3092人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s2955123.jpg,牛奶可乐经济学,"
        
  
  [美] 罗伯特·弗兰克 / 闾佳 / 中国人民大学出版社 / 2008-1 / 39.80

      ",7.5,"
        (19204人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s27980336.jpg,21世纪资本论,"
        
  
  [法] 托马斯·皮凯蒂（Thomas Piketty） / 巴曙松 / 中信出版社 / 2014-9 / 98.00元

      ",7.8,"
        (3112人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s8879166.jpg,通往奴役之路,"
        
  
  弗里德利希・冯・哈耶克 / 王明毅、冯兴元 / 中国社会科学出版社 / 1997-08-01 / 16.00

      ",8.8,"
        (13714人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29713436.jpg,“错误”的行为,"
        
  
  [美] 理查德·塞勒 / 王晋 / 中信出版集团 / 2018-3-1 / 69.00

      ",8.7,"
        (769人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s10389195.jpg,投资最重要的事,"
        
  
  [美] 霍华德·马克斯 Howard Marks / 孙 伊 / 中信出版社 / 2012-7 / 58.00元

      ",8.7,"
        (5200人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s30245856.jpg,债务危机,"
        
  
  [美] 瑞·达利欧 / 赵灿、熊建伟、刘波、崔苹苹、何杰奎林 / 中信出版社 / 2019-3 / 98.00元

      ",8.7,"
        (2206人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33698910.jpg,每个人的经济学,"
        
  
  [英] 张夏准 / 李佳楠 / 广西师范大学出版社 / 2020-8 / 68.00元

      ",8.6,"
        (155人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s3297116.jpg,经济学,"
        
  
  （美）保罗·萨缪尔森 / 萧琛 / 人民邮电出版社 / 2008-1-1 / 88.00元

      ",9.3,"
        (1611人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s27829518.jpg,稀缺,"
        
  
  塞德希尔·穆来纳森、埃尔德·沙菲尔 / 魏薇、龙志勇 / 浙江人民出版社 / 2014-11 / 56.90元

      ",7.5,"
        (8126人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29872890.jpg,解读中国经济,"
        
  
  林毅夫 / 北京大学出版社 / 2018-9 / 68.00元

      ",9.2,"
        (453人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29808391.jpg,怪诞行为学,"
        
  
  ［美］丹•艾瑞里 / 赵德亮、夏蓓洁 / 中信出版集团 / 2017-12-20 / 48

      ",8.1,"
        (2115人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33826853.jpg,半小时漫画经济学,"
        
  
  陈磊·半小时漫画团队 / 海南出版社 / 2019-8 / 49.90元

      ",6.7,"
        (7047人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s24413745.jpg,逃不开的经济周期,"
        
  
  拉斯·特维德 / 董裕平 / 中信出版社 / 2012-11 / 69.00元

      ",8.4,"
        (2118人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29408045.jpg,经济学通识,"
        
  
  薛兆丰 / 北京大学出版社 / 2015-8 / 58.00元

      ",8.0,"
        (5444人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33600769.jpg,货币、权力与人,"
        
  
  翟东升 / 中国社会科学出版社 / 2019-5 / 99

      ",9.0,"
        (413人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33609702.jpg,好的经济学,"
        
  
  [美] 阿比吉特·班纳吉、[法] 埃斯特·迪弗洛 / 张缘、蒋宗强 / 中信出版集团 / 2020-4-1 / 68

      ",8.2,"
        (665人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33757306.jpg,中国经济2021,"
        
  
  王德培 / 中国友谊出版公司 / 2021-1 / 58.00元

      ",6.4,"
        (579人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33793973.jpg,香帅财富报告,"
        
  
  香帅 / 新星出版社 / 2020-12-30 / 69

      ",7.0,"
        (573人评价)
    "
