封面,标题,出版信息,评分,评价人数
https://img1.doubanio.com/view/subject/s/public/s33716278.jpg,Python编程,"
        
  
  [美]埃里克·马瑟斯（Eric Matthes） / 袁国忠 / 人民邮电出版社 / 2020-10 / 89

      ",9.6,"
        (208人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s27331702.jpg,编码,"
        
  
  [美] Charles Petzold / 左飞、薛佟佟 / 电子工业出版社 / 2010 / 55.00元

      ",9.3,"
        (3736人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4669554.jpg,黑客与画家,"
        
  
  [美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2011-4 / 49.00元

      ",8.7,"
        (19918人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28891775.jpg,Python编程,"
        
  
  [美] 埃里克·马瑟斯 / 袁国忠 / 人民邮电出版社 / 2016-7-1 / 89.00元

      ",9.1,"
        (3601人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29195878.jpg,深入理解计算机系统（原书第3版）,"
        
  
  Randal E.Bryant、David O'Hallaron / 龚奕利、贺莲 / 机械工业出版社 / 2016-11 / 139.00元

      ",9.8,"
        (1375人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1495029.jpg,代码大全（第2版）,"
        
  
  [美] 史蒂夫·迈克康奈尔 / 金戈、汤凌、陈硕、张菲 译、裘宗燕 审校 / 电子工业出版社 / 2006-3 / 128.00元

      ",9.3,"
        (3967人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29872642.jpg,数据密集型应用系统设计,"
        
  
  Martin Kleppmann / 赵军平、李三平、吕云松、耿煜 / 中国电力出版社 / 2018-9-1 / 128

      ",9.7,"
        (703人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29107491.jpg,算法（第4版）,"
        
  
  塞奇威克 (Robert Sedgewick)、韦恩 (Kevin Wayne) / 谢路云 / 人民邮电出版社 / 2012-10-1 / 99.00元

      ",9.4,"
        (1438人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33607450.jpg,程序员修炼之道(第2版),"
        
  
  David Thomas、Andrew Hunt / 云风 / 电子工业出版社 / 2020-4-1 / 89.00元

      ",9.1,"
        (303人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s4510534.jpg,深入理解计算机系统（原书第2版）,"
        
  
  （美）Randal E.Bryant、David O'Hallaron / 龚奕利、雷迎春 / 机械工业出版社 / 2011-1-1 / 99.00元

      ",9.7,"
        (2736人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29358625.jpg,算法图解,"
        
  
  [美] Aditya Bhargava / 袁国忠 / 人民邮电出版社 / 2017-3 / 49.00元

      ",8.4,"
        (2146人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s27243455.jpg,Java编程思想 （第4版）,"
        
  
  [美] Bruce Eckel / 陈昊鹏 / 机械工业出版社 / 2007-6 / 108.00元

      ",9.1,"
        (3949人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s29438897.jpg,C Primer Plus（第6版）中文版,"
        
  
  普拉达 (Stephen Prata) / 姜佑 / 人民邮电出版社 / 2016-4-1 / CNY 89.00

      ",9.4,"
        (921人评价)
    "
