封面,标题,出版信息,评分,评价人数
https://img9.doubanio.com/view/subject/s/public/s32276605.jpg,金字塔原理,"
        
  
  [美]芭芭拉•明托 / 汪洱、高愉 / 南海出版公司 / 2019-4 / 88.00元

      ",8.1,"
        (1312人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s4510907.jpg,高效能人士的七个习惯,"
        
  
  史蒂芬·柯维 / 高新勇、王亦兵、葛雪蕾 / 中国青年出版社 / 2018-5-1 / 49.00元

      ",8.4,"
        (13688人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s26806155.jpg,向前一步,"
        
  
  [美]谢丽尔·桑德伯格（Sheryl Sandberg） / 颜筝 / 中信出版社 / 2013-6-30 / 39.00元

      ",8.1,"
        (16077人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33733115.jpg,非线性成长,"
        
  
  黄有璨 / 电子工业出版社 / 2020-10-1 / 88

      ",8.1,"
        (545人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29808796.jpg,OKR工作法,"
        
  
  克里斯蒂娜•沃特克 (Christina Wodtke) / 明道团队 / 中信出版社 / 2017-9-1 / CNY 42.00

      ",7.4,"
        (4781人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28324536.jpg,干法,"
        
  
  [日] 稻盛和夫 / 曹岫云 / 机械工业出版社 / 2015-5 / 39.00元

      ",7.5,"
        (2924人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s29470672.jpg,深度工作,"
        
  
  [美] 卡尔·纽波特 / 宋伟 / 后浪丨江西人民出版社 / 2017-7 / 45.00元

      ",7.7,"
        (9277人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s33806405.jpg,薇娅：人生是用来改变的,"
        
  
  薇娅 / 北京联合出版公司 / 2021-1-18 / 59.00元

      ",7.0,"
        (611人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29455364.jpg,秘书工作手记,"
        
  
  像玉的石头 / 清华大学出版社 / 59.00元

      ",8.1,"
        (1127人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s29699274.jpg,远见,"
        
  
  [美] 布赖恩·费瑟斯通豪 / 苏健 / 湛庐文化/北京联合出版公司 / 2018-1 / 69.90元

      ",7.6,"
        (3490人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s8512103.jpg,参谋助手论,"
        
  
  王怀志 郭政 / 世界图书出版公司·后浪出版公司 / 2012-3 / 29.80元

      ",7.9,"
        (699人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33802961.jpg,现实主义者,"
        
  
  [以] 阿萨夫·哈努卡 / 张琦 / 后浪丨广东旅游出版社 / 2021-2-1 / 138.00

      ",9.0,"
        (463人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s9063857.jpg,关键对话,"
        
  
  （美）科里·帕特森（Kerry Patterson）、约瑟夫·格雷尼（Joseph Grenny）、罗恩·麦克米兰（Ron McMillan） / 毕崇毅 / 机械工业出版社 / 2012-4 / 39.00元

      ",8.2,"
        (5228人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1163357.jpg,职场动物进化手册,"
        
  
  雾满拦江 / 陕西师范大学出版社 / 2004-09 / 25.00

      ",8.4,"
        (2529人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s27295429.jpg,小强升职记,"
        
  
  邹鑫 / 电子工业出版社 / 2014-4-1 / 39.00元

      ",8.7,"
        (3435人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s29221341.jpg,请停止无效努力,"
        
  
  孙圈圈 / 团结出版社 / 2017-1-1 / 38.00元

      ",8.1,"
        (2332人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33699293.jpg,重来3：跳出疯狂的忙碌,"
        
  
  [美] 贾森·弗里德、[丹] 戴维·海涅迈尔·汉森 / 苏西 / 电子工业出版社 / 2020-7 / 50.70元

      ",8.3,"
        (502人评价)
    "
