封面,标题,出版信息,评分,评价人数
https://img3.doubanio.com/view/subject/s/public/s33602160.jpg,大山里的小诗人,"
        
  
  “是光”的孩子们 / 江苏凤凰文艺出版社 / 2020-4 / 49.80元

      ",8.8,"
        (2292人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1044902.jpg,飞鸟集,"
        
  
  [印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元

      ",8.9,"
        (55042人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s2364689.jpg,野草,"
        
  
  鲁迅 / 人民文学出版社 / 1973-3 / 0.20元

      ",9.4,"
        (25092人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s1979223.jpg,诗经,"
        
  
  孔丘 编订 / 北京出版社 / 2006-7 / 19.90元

      ",9.4,"
        (20770人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33786617.jpg,死亡赋格,"
        
  
  保罗·策兰 / 黄灿然 / 雅众文化 | 北京联合出版公司 / 2021-1 / 65.00元

      ",9.1,"
        (180人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s27313674.jpg,二十首情诗和一首绝望的歌,"
        
  
  [智利] 巴勃罗·聂鲁达 / 陈黎、张芬龄 / 南海出版公司 / 2014-6 / 39.50元

      ",8.2,"
        (8844人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28831415.jpg,万物静默如谜,"
        
  
  ［波］维斯拉瓦·辛波斯卡 / 陈黎、张芬龄 / 湖南文艺出版社 / 2016-8 / 48.00元

      ",8.7,"
        (5797人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s28692015.jpg,直到世界反映了灵魂最深层的需要,"
        
  
  [美] 露易丝·格丽克 / 柳向阳、范静哗 / 上海人民出版社 / 2016-5 / 65.00元

      ",8.1,"
        (2386人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s1067491.jpg,海子的诗,"
        
  
  海子 / 人民文学出版社 / 1999-04 / 15.40

      ",8.9,"
        (36956人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s33794350.jpg,灰烬的光辉,"
        
  
  [德]保罗·策兰 / 王家新 / 广西师范大学出版社 / 2021-1 / 82.00

      ",9.3,"
        (76人评价)
    "
https://img3.doubanio.com/view/subject/s/public/s28000270.jpg,月光落在左手上,"
        
  
  余秀华 / 广西师范大学出版社 / 2015-2-1 / 29.00元

      ",8.3,"
        (11524人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s33749747.jpg,万叶集,"
        
  
  佚名、宋再新、宋方洁整理、吉田博、川濑巴水、土屋光逸、小原古邨、歌川国芳等绘 / 钱稻孙 / 浙江教育出版社 / 2020-12 / 98

      ",8.9,"
        (115人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33680063.jpg,诗歌手册,"
        
  
  [美]玛丽·奥利弗（Mary Oliver） / 倪志娟 / 北京联合出版公司 / 2020-9 / 38.00

      ",8.2,"
        (383人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s10458247.jpg,荒原,"
        
  
  [英] T·S·艾略特 / 裘小龙、汤永宽 / 上海译文出版社 / 2012-7-1 / 45.00

      ",8.8,"
        (4248人评价)
    "
https://img2.doubanio.com/view/subject/s/public/s33820282.jpg,提琴与坟墓,"
        
  
  [西] 费德里科·加西亚·洛尔迦 / 汪天艾 / 雅众文化 | 北京联合出版公司 / 2021-1-1 / 45.00

      ",8.2,"
        (392人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s1008848.jpg,唐诗三百首,"
        
  
  蘅塘退士、陈婉俊 / 中华书局 / 1998-1-1 / 0.65

      ",9.4,"
        (17940人评价)
    "
https://img9.doubanio.com/view/subject/s/public/s3381125.jpg,云雀叫了一整天,"
        
  
  木心 / 广西师范大学出版社 / 2009-1-1 / CNY 30.00

      ",8.5,"
        (13203人评价)
    "
https://img1.doubanio.com/view/subject/s/public/s28378127.jpg,给青年诗人的信,"
        
  
  [奥] 里尔克 / 冯至 / 雅众文化/云南人民出版社 / 2015-12 / 29.00元

      ",9.0,"
        (8984人评价)
    "
